violation_id,n_agents,manipulator,changed_other_agents,manipulator_assignment,truthful_manipulator_pref,misreport_manipulator_pref,truthful_profile,misreport_profile,truthful_allocation,misreport_allocation
12,3,0,"1,2",2,"{0,1,2}",{2} > {0} > {1},"A0: {0,1,2} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}",A0: {2} > {0} > {1} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2},"A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
13,3,0,"1,2",2,"{2} > {0,1}","{0,1,2}","A0: {2} > {0,1} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {0,1,2} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
14,3,0,"1,2",2,"{2} > {0,1}","{1,2} > {0}","A0: {2} > {0,1} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {1,2} > {0} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
15,3,2,"0,1",1,"{0,1,2}","{1,2} > {0}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1,2} > {0}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
16,3,2,"0,1",1,"{0,1,2}","{1} > {0,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {0,2}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
17,3,2,"0,1",1,"{0,1,2}",{1} > {2} > {0},"A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {2} > {0}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
18,3,2,"0,1",1,"{0,1,2}",{1} > {0} > {2},"A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
19,3,2,"0,1",1,"{0,1} > {2}","{1,2} > {0}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1,2} > {0}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
20,3,2,"0,1",1,"{0,1} > {2}","{1} > {0,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {0,2}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
21,3,2,"0,1",1,"{0,1} > {2}",{1} > {2} > {0},"A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {2} > {0}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
